pv_kw,battery_kwh,IRR,NPC,NPV,pv_cost_per_kw,battery_cost_per_kwh,capex_total,opex_total,export_revenue,import_cost,payback_years,annual_savings,total_savings,pv_battery_savings,battery_total_cycles,battery_degradation_pct,renewable_fraction
0.0,58,0.0,91166.18143820218,-91166.18143820218,0.0,775.1365533772156,55049.92009587851,38106.0,0.0,281240.83307723666,inf,-1203.875378077456,1989.7386576763238,1989.7386576763238,109.46504561028878,25.903975436285755,-0.0005353021765702262
0.0,60,0.0,94007.86826045939,-94007.86826045939,0.0,768.9601993069987,56577.61195841992,39419.99999999999,0.0,281240.8280369525,inf,-1247.6752100679828,1989.7436979605118,1989.7436979605118,105.81662033442565,25.90397543628866,-0.0005352835078949424
0.0,62,0.0,96827.90091677978,-96827.90091677978,0.0,762.8330589520095,58083.649655024594,40734.0,0.0,281240.82299666817,inf,-1291.475042058506,1989.7487382448162,1989.7487382448162,102.40357733442308,25.903975436288235,-0.00053526483921966
0.0,64,0.0,99626.54959255422,-99626.54959255422,0.0,756.7547401731745,59568.303371083166,42048.0,0.0,281240.81795638404,inf,-1335.2748740490351,1989.753778528946,1989.753778528946,99.20384952192491,25.903975436290573,-0.0005352461705443762
0.0,66,0.0,102404.08154228401,-102404.08154228401,0.0,750.7248539560164,61031.840361097085,43362.0,0.0,281240.8129160999,inf,-1379.0747060395643,1989.7588188130758,1989.7588188130758,96.1980446071502,25.903975436287592,-0.0005352275018690917
0.0,68,0.0,105160.76111913423,-105160.76111913423,0.0,744.7430143857598,62474.52497823167,44676.0,0.0,281240.80787581555,inf,-1422.8745380300854,1989.7638590974384,1989.7638590974384,93.36905174618735,25.90397543628933,-0.0005352088331938087
0.0,70,0.0,107896.84980420241,-107896.84980420241,0.0,738.8088386226299,63896.61870358409,45990.0,0.0,281240.8028355313,inf,-1466.6743700206105,1989.7688993816846,1989.7688993816846,90.70171562014013,25.903975436288807,-0.0005351901645185235
0.0,72,0.0,110612.60623550357,-110612.60623550357,0.0,732.9219468773524,65298.380175169375,47304.00000000001,0.0,281240.79779524717,inf,-1510.4742020111396,1989.7739396658144,1989.7739396658144,88.18256483443191,25.903975436287958,-0.0005351714958432405
0.0,74,0.0,113308.28623667663,-113308.28623667663,0.0,727.0819623868464,66680.06521662664,48618.0,0.0,281240.792754963,inf,-1554.2740340016665,1989.7789799500024,1989.7789799500024,85.79958436145785,25.903975436293532,-0.000535152827167956
0.0,76,0.0,115984.14284541417,-115984.14284541417,0.0,721.2885113901108,68041.92686564842,49931.99999999999,0.0,281240.78771467874,inf,-1598.0738659921915,1989.7840202342486,1989.7840202342486,83.54202391337132,25.90397543628462,-0.0005351341584926737
0.0,78,0.0,118640.42634161722,-118640.42634161722,0.0,715.5412231043047,69384.21540213577,51245.99999999999,0.0,281240.78267439443,inf,-1641.8736979827147,1989.789060518553,1989.789060518553,81.40023579596141,25.903975436290157,-0.0005351154898173906
0.0,80,0.0,121277.38427527853,-121277.38427527853,0.0,709.8397297010158,70707.17837608127,52560.0,0.0,281240.77763411024,inf,-1685.673529973242,1989.794100802741,1989.794100802741,79.36553708442585,25.903975436291272,-0.0005350968211421061
0.0,82,0.0,123895.26149409614,-123895.26149409614,0.0,704.1836662827203,72011.06063518306,53874.0,0.0,281240.77259382606,inf,-1729.473361963769,1989.799141086929,1989.799141086929,77.43009196857204,25.903975436288956,-0.0005350781524668216
0.0,84,0.0,126494.30017082083,-126494.30017082083,0.0,698.5726708594286,73296.10435219201,55188.0,0.0,281240.7675535418,inf,-1773.2731939542941,1989.8041813711752,1989.8041813711752,75.58681090585375,25.90397543629252,-0.0005350594837915386
