pv_kw,battery_kwh,IRR,NPC
4.0,110,,467896.80712447676
4.0,112,,476814.79414359934
4.0,114,,485732.7811627218
4.0,116,,494650.76818184444
4.0,118,,503568.75520096696
4.0,120,,512486.74222008954
4.0,122,,521404.7292392121
4.0,124,,530322.7162583347
4.0,126,,539240.7032774572
4.0,128,,548158.6902965797
4.0,130,,557076.6773157023
4.0,132,,565994.6643348249
4.0,134,,574912.6513539474
4.0,136,,583830.6383730699
4.0,138,,592748.6253921925
4.0,140,,601666.6124113151
4.0,142,,610584.5994304377
4.0,144,,619502.5864495601
4.0,146,,628420.5734686827
4.0,148,,637338.5604878053
4.0,150,,646256.5475069277
4.0,152,,655174.5345260503
4.0,154,,664092.5215451729
4.0,156,,673010.5085642955
4.0,158,,681928.4955834181
4.0,160,,690846.4826025406
4.0,162,,699764.4696216631
4.0,164,,708682.4566407857
4.0,166,,717600.4436599083
4.0,168,,726518.4306790307
4.0,170,,735436.4176981533
4.0,172,,744354.4047172759
4.0,174,,753272.3917363985
4.0,176,,762190.378755521
4.0,178,,771108.3657746436
4.0,180,,780026.3527937661
4.0,182,,788944.3398128886
4.0,184,,797862.3268320111
4.0,186,,806780.3138511337
4.0,188,,815698.3008702563
4.0,190,,824616.2878893788
4.0,192,,833534.2749085013
4.0,194,,842452.261927624
4.0,196,,851370.2489467466
4.0,198,,860288.235965869
4.0,200,,869206.2229849916
5.0,0,0.08764930657534586,-18594.172872059065
5.0,2,0.05009483637882162,-11775.710813525702
5.0,4,0.01901679788980526,-4724.1290116796645
5.0,6,-0.009997560913116876,2513.1017387938437
5.0,8,-0.04152536425943487,9989.464619294122
5.0,10,-0.0869062949065329,17774.860153407662
5.0,12,,25870.953680475603
5.0,14,,34236.686009994984
5.0,16,,42752.748302872395
5.0,18,,51371.03977573663
5.0,20,,60073.56316924878
5.0,22,,68854.52831918912
5.0,24,,77671.80749549498
5.0,26,,86510.80596227567
5.0,28,,95368.76139703355
5.0,30,,104243.02395976846
5.0,32,,113127.50224819958
5.0,34,,122021.21336981001
5.0,36,,130920.94223718291
5.0,38,,139829.07923638998
5.0,40,,148740.3089439483
5.0,42,,157654.14456277408
5.0,44,,166568.5567102528
5.0,46,,175483.97683696926
5.0,48,,184399.2818223992
5.0,50,,193315.73856788687
5.0,52,,202232.60391073217
5.0,54,,211149.78375842914
5.0,56,,220066.97677871777
5.0,58,,228984.46604285654
5.0,60,,237901.51225411263
5.0,62,,246818.2605122706
5.0,64,,255735.00877042857
5.0,66,,264651.7570285866
5.0,68,,273568.50528674445
5.0,70,,282486.0616603779
5.0,72,,291404.04867950047
5.0,74,,300322.035698623
5.0,76,,309240.02271774557
5.0,78,,318158.00973686815
5.0,80,,327075.99675599067
5.0,82,,335993.98377511324
5.0,84,,344911.97079423576
5.0,86,,353829.9578133583
5.0,88,,362747.9448324809
5.0,90,,371665.93185160344
5.0,92,,380583.91887072596
5.0,94,,389501.9058898486
5.0,96,,398419.89290897106
5.0,98,,407337.87992809364
5.0,100,,416255.8669472162
5.0,102,,425173.85396633873
5.0,104,,434091.84098546125
5.0,106,,443009.8280045838
5.0,108,,451927.8150237064
5.0,110,,460845.80204282893
5.0,112,,469763.78906195145
5.0,114,,478681.77608107403
