Date and Time,Simulated (kWh),Actual (kWh)
2025-10-21,31.697203876,27.68732
2025-10-22,22.81445133,21.05447
2025-10-23,22.659822841,18.68102
2025-10-24,21.149851594,20.59908
2025-10-25,27.152610109,27.558510000000002
2025-10-26,29.921844128,29.13762
2025-10-27,20.254209268,17.98141
2025-10-28,19.515215063,27.381259999999997
2025-10-29,22.273370113,29.1754
2025-10-30,13.808694982,5.48061
2025-10-31,12.951301213,21.31835
2025-11-01,28.455528794,30.67262
2025-11-02,17.779025176,26.40095
2025-11-03,15.192984467,23.87484
2025-11-04,31.961447001,27.96308
2025-11-05,21.609769872,28.33057
2025-11-06,30.33448637,18.25707
2025-11-07,29.25578884,22.91171
2025-11-08,28.371102276000002,17.376360000000002
2025-11-09,17.284845487,22.84288
2025-11-10,6.746038009,30.00539
2025-11-11,5.458643332,28.84028
2025-11-12,18.373703314,13.01738
2025-11-13,22.641629015,15.391539999999999
2025-11-14,23.305955506,31.92243
2025-11-15,33.321230451,29.744889999999998
2025-11-16,32.882843188,27.23899
2025-11-17,33.88788524,8.77618
2025-11-18,31.762293727,23.96254
2025-11-19,30.719387657,31.66734
2025-11-20,28.968670618,29.98017
2025-11-21,31.212995217,28.69086
2025-11-22,14.160368177,27.56974
2025-11-23,26.452253222,21.01293
2025-11-24,37.456101007,6.23069
2025-11-25,9.051629586,7.1012900000000005
2025-11-26,4.325087912,15.01669
2025-11-27,37.129827681,13.1639
2025-11-28,37.097841935,26.9409
2025-11-29,28.540731486,28.6172
2025-11-30,26.377347281,6.49946
2025-12-01,22.149928752,24.86285
2025-12-02,22.136936771,29.52086
2025-12-03,22.345347663,15.019309999999999
2025-12-04,22.122679324,31.93744
2025-12-05,12.807120792,29.34944
2025-12-06,36.467243418,22.23008
2025-12-07,32.902595465,19.89214
2025-12-08,33.311683006,31.27178
2025-12-09,30.254861251,24.26739
2025-12-10,30.398865759,31.175060000000002
2025-12-11,26.973024534,31.95453
2025-12-12,32.006221213,28.54103
2025-12-13,35.268280826,31.13263
2025-12-14,32.378799998,23.62245
2025-12-15,32.777869899,30.15136
2025-12-16,13.71338823,18.36602
2025-12-17,25.3980031,26.78959
2025-12-18,27.764558619,32.64297
2025-12-19,31.283470248,30.238039999999998
2025-12-20,24.046267878,29.35054
2025-12-21,19.719216893,31.7605
2025-12-22,37.900261692,27.26737
2025-12-23,30.709746598000002,20.79117
2025-12-24,9.983957398,27.07272
2025-12-25,33.26928432,30.21715
2025-12-26,33.132188433,24.3548
2025-12-27,18.179200414,16.90066
2025-12-28,6.976520435,19.20703
2025-12-29,21.3240541,30.07949
2025-12-30,22.711082387,24.87613
2025-12-31,22.711082387,30.84087
