Date and Time,Consumption (kWh)
2024-09-30,86.95667285714286
2024-10-01,83.81557571428573
2024-10-02,71.47237
2024-10-03,63.844857142857144
2024-10-04,68.19374285714285
2024-10-05,69.01263
2024-10-06,68.03325571428572
2024-10-07,69.26689999999999
2024-10-08,69.70382142857143
2024-10-09,75.74594
2024-10-10,87.43358
2024-10-11,82.20362428571427
2024-10-12,80.5495542857143
2024-10-13,98.19544285714287
2024-10-14,97.57003571428571
2024-10-15,99.62331714285713
2024-10-16,95.96466714285714
2024-10-17,84.46839142857144
2024-10-18,93.71581142857143
2024-10-19,102.28925857142858
2024-10-20,104.25465
2024-10-21,105.99213857142857
2024-10-22,110.20421714285715
2024-10-23,112.36431714285716
2024-10-24,109.72366857142858
2024-10-25,100.14040714285714
2024-10-26,96.90170285714287
2024-10-27,81.5027757142857
2024-10-28,85.57791
2024-10-29,102.90047142857144
2024-10-30,100.03441285714287
2024-10-31,108.46859428571427
2024-11-01,117.11918142857144
2024-11-02,144.2928
2024-11-03,151.00371857142858
2024-11-04,149.07912142857143
2024-11-05,133.0651457142857
2024-11-06,138.71821142857144
2024-11-07,137.3644057142857
2024-11-08,136.30808285714286
2024-11-09,114.41264428571428
2024-11-10,105.50886571428573
2024-11-11,125.72432285714285
2024-11-12,123.70243857142857
2024-11-13,122.44564857142858
2024-11-14,116.73489428571429
2024-11-15,113.67482714285714
2024-11-16,107.70641428571427
2024-11-17,127.64538428571427
2024-11-18,104.65270714285714
2024-11-19,103.78741571428573
2024-11-20,105.43622
2024-11-21,134.30542428571428
2024-11-22,173.77440285714286
2024-11-23,211.76539428571428
2024-11-24,217.5380385714286
2024-11-25,250.8954314285714
2024-11-26,284.9033385714286
2024-11-27,297.25672857142854
2024-11-28,306.0955914285714
2024-11-29,306.1542285714286
2024-11-30,303.18058999999994
2024-12-01,299.70732714285714
2024-12-02,300.5375514285714
2024-12-03,310.16749714285714
2024-12-04,315.3061457142857
2024-12-05,316.52822285714285
2024-12-06,326.2152057142857
2024-12-07,336.3490171428571
2024-12-08,338.75215
2024-12-09,342.6350828571429
2024-12-10,337.7129042857142
2024-12-11,331.91606
2024-12-12,334.49942999999996
2024-12-13,333.48479428571426
2024-12-14,332.27241
2024-12-15,351.0227785714286
2024-12-16,361.8545828571429
2024-12-17,370.52951571428576
2024-12-18,375.64500714285714
2024-12-19,379.56686571428565
2024-12-20,379.21713857142856
2024-12-21,378.9851457142857
2024-12-22,368.4468614285714
2024-12-23,354.1010257142857
2024-12-24,348.1929014285714
2024-12-25,345.7863557142858
2024-12-26,346.1738928571428
2024-12-27,335.19676714285714
2024-12-28,327.4198428571429
2024-12-29,327.0891457142857
2024-12-30,329.8052828571428
2024-12-31,321.5738757142857
