Date and Time,Simulated (kWh),Actual (kWh)
2025-05-15,12.224718253571426,0.0
2025-05-16,12.16147974542857,0.0
2025-05-17,11.571331384571426,0.0
2025-05-18,9.731810924,0.0
2025-05-19,9.694057907,0.0
2025-05-20,10.654389089714286,0.0
2025-05-21,10.82790183642857,0.0
2025-05-22,8.992860275285713,0.0
2025-05-23,7.783126448857142,0.0
2025-05-24,8.513304584714286,0.0
2025-05-25,9.187502867571428,0.0
2025-05-26,10.02257883242857,0.0
2025-05-27,9.643269043142856,0.0
2025-05-28,9.942028728428571,0.0
2025-05-29,11.512230869142858,0.0
2025-05-30,12.196649585285714,0.0
2025-05-31,10.722804467714285,0.0
2025-06-01,9.820010396142857,0.0
2025-06-02,8.938919413999999,0.0
2025-06-03,8.30909848957143,0.0
2025-06-04,7.471202900285715,0.0
2025-06-05,6.457584271428571,0.0
